Entity,Year,Predicted Life Expectancy,Projected CO2 per capita,Projected GDP per capita
Antigua and Barbuda,2035,75.63,7.3936,28795.44
Argentina,2026,73.84,3.7668,26274.24
Argentina,2027,74.84,3.7191,26144.87
Argentina,2028,74.84,3.6713,26015.5
Argentina,2029,74.84,3.6235,25886.13
Argentina,2030,74.84,3.5757,25756.76
Argentina,2031,74.84,3.5279,25627.39
Argentina,2032,74.21,3.4801,25498.02
Argentina,2033,73.64,3.4323,25368.64
Argentina,2034,73.64,3.3845,25239.27
Argentina,2035,73.64,3.3367,25109.9
Armenia,2026,72.25,2.7826,19783.53
Armenia,2027,72.25,2.8593,20373.25
Armenia,2028,73.76,2.936,20962.97
Armenia,2029,73.64,3.0126,21552.69
Armenia,2030,73.64,3.0893,22142.4
Armenia,2031,73.64,3.166,22732.12
Armenia,2032,73.64,3.2426,23321.84
Armenia,2033,73.64,3.3193,23911.56
Armenia,2034,73.64,3.396,24501.28
Armenia,2035,73.64,3.4726,25090.99
Aruba,2026,81.05,0.0,39491.84
Aruba,2027,81.05,0.0,39800.65
Aruba,2028,81.05,0.0,40109.46
Aruba,2029,81.6,0.0,40418.28
Aruba,2030,81.74,0.0,40727.09
Aruba,2031,81.74,0.0,41035.9
Aruba,2032,81.74,0.0,41344.72
Aruba,2033,81.74,0.0,41653.53
Aruba,2034,81.74,0.0,41962.34
Aruba,2035,81.82,0.0,42271.15
Australia,2026,78.39,13.8368,61771.58
Australia,2027,78.39,13.5596,62318.85
Australia,2028,78.45,13.2823,62866.13
Australia,2029,78.45,13.0051,63413.4
Australia,2030,78.45,12.7279,63960.67
Australia,2031,78.74,12.4506,64507.95
Australia,2032,78.04,12.1734,65055.22
Australia,2033,77.99,11.8962,65602.5
Australia,2034,78.05,11.6189,66149.77
Australia,2035,77.35,11.3417,66697.05
Austria,2026,82.5,6.419,65510.86
Austria,2027,82.12,6.2993,65863.12
Austria,2028,82.14,6.1796,66215.39
Austria,2029,81.96,6.0598,66567.66
Austria,2030,81.83,5.9401,66919.93
Austria,2031,81.99,5.8203,67272.2
Austria,2032,81.99,5.7006,67624.46
Austria,2033,81.99,5.5809,67976.73
Austria,2034,76.22,5.4611,68329.0
Austria,2035,81.18,5.3414,68681.27
Azerbaijan,2026,73.64,4.0988,20754.94
Azerbaijan,2027,73.64,4.1536,20825.11
Azerbaijan,2028,73.64,4.2084,20895.27
Azerbaijan,2029,73.95,4.2632,20965.43
Azerbaijan,2030,73.95,4.318,21035.59
Azerbaijan,2031,73.37,4.3728,21105.75
Azerbaijan,2032,73.37,4.4276,21175.91
Azerbaijan,2033,73.37,4.4824,21246.07
Azerbaijan,2034,73.64,4.5372,21316.23
Azerbaijan,2035,72.91,4.592,21386.39
Bahamas,2026,75.69,7.1341,32439.33
Bahamas,2027,75.69,7.2383,32425.97
Bahamas,2028,75.69,7.3425,32412.6
