Entity,Year,Predicted Life Expectancy,Projected CO2 per capita,Projected GDP per capita
Faroe Islands,2035,77.86,15.9951,89420.64
Fiji,2026,70.17,1.7706,13336.87
Fiji,2027,70.08,1.8148,13536.57
Fiji,2028,71.31,1.859,13736.28
Fiji,2029,71.14,1.9032,13935.98
Fiji,2030,71.67,1.9474,14135.69
Fiji,2031,71.67,1.9916,14335.39
Fiji,2032,71.67,2.0358,14535.1
Fiji,2033,71.96,2.08,14734.8
Fiji,2034,71.96,2.1242,14934.51
Fiji,2035,71.14,2.1684,15134.21
Finland,2026,80.43,4.8608,57680.7
Finland,2027,81.68,4.4988,57964.7
Finland,2028,81.92,4.1369,58248.71
Finland,2029,82.56,3.7749,58532.71
Finland,2030,81.09,3.4129,58816.72
Finland,2031,79.83,3.0509,59100.72
Finland,2032,79.86,2.6889,59384.72
Finland,2033,80.14,2.3269,59668.73
Finland,2034,81.44,1.9649,59952.73
Finland,2035,82.94,1.6029,60236.73
France,2026,81.69,3.8687,54511.57
France,2027,81.0,3.7469,54847.25
France,2028,81.5,3.6252,55182.93
France,2029,80.87,3.5034,55518.62
France,2030,80.87,3.3817,55854.3
France,2031,80.84,3.2599,56189.98
France,2032,80.84,3.1381,56525.67
France,2033,79.83,3.0164,56861.35
France,2034,79.83,2.8946,57197.03
France,2035,79.83,2.7729,57532.71
Gabon,2026,73.3,1.9988,19080.6
Gabon,2027,74.23,1.9315,19069.54
Gabon,2028,74.72,1.8642,19058.48
Gabon,2029,75.45,1.797,19047.43
Gabon,2030,75.32,1.7297,19036.37
Gabon,2031,75.5,1.6624,19025.31
Gabon,2032,75.73,1.5951,19014.25
Gabon,2033,75.73,1.5278,19003.19
Gabon,2034,75.19,1.4606,18992.13
Gabon,2035,75.19,1.3933,18981.07
Gambia,2026,62.56,0.3223,2822.17
Gambia,2027,62.56,0.3292,2838.26
Gambia,2028,62.56,0.3362,2854.36
Gambia,2029,62.56,0.3431,2870.45
Gambia,2030,62.71,0.35,2886.54
Gambia,2031,62.65,0.357,2902.64
Gambia,2032,62.65,0.3639,2918.73
Gambia,2033,62.57,0.3709,2934.82
Gambia,2034,62.57,0.3778,2950.92
Gambia,2035,62.4,0.3847,2967.01
Georgia,2026,73.64,3.5038,23331.58
Georgia,2027,73.64,3.6075,24083.04
Georgia,2028,73.64,3.7113,24834.49
Georgia,2029,75.03,3.8151,25585.95
Georgia,2030,75.03,3.9189,26337.41
Georgia,2031,75.47,4.0227,27088.86
Georgia,2032,75.47,4.1265,27840.32
Georgia,2033,75.47,4.2303,28591.77
Georgia,2034,75.47,4.334,29343.23
Georgia,2035,74.98,4.4378,30094.69
Germany,2026,77.61,7.0646,66314.43
Germany,2027,81.59,6.8562,66967.03
Germany,2028,81.59,6.6478,67619.64
Germany,2029,81.73,6.4394,68272.24
Germany,2030,81.76,6.231,68924.85
Germany,2031,81.76,6.0226,69577.45
Germany,2032,82.22,5.8142,70230.05
Germany,2033,82.22,5.6058,70882.66
Germany,2034,81.4,5.3974,71535.26
Germany,2035,81.85,5.189,72187.87
Ghana,2026,67.46,0.6913,7501.06
Ghana,2027,62.95,0.7118,7671.9
Ghana,2028,62.73,0.7322,7842.74
Ghana,2029,62.12,0.7527,8013.58
Ghana,2030,64.28,0.7731,8184.42
Ghana,2031,63.19,0.7936,8355.26
Ghana,2032,65.39,0.814,8526.1
Ghana,2033,64.92,0.8345,8696.94
Ghana,2034,64.85,0.855,8867.78
Ghana,2035,65.39,0.8754,9038.62
Greece,2026,75.72,4.0098,32558.35
Greece,2027,75.53,3.7164,32466.37
Greece,2028,75.53,3.423,32374.38
Greece,2029,75.53,3.1295,32282.4
Greece,2030,75.53,2.8361,32190.42
Greece,2031,75.56,2.5427,32098.44
Greece,2032,76.16,2.2493,32006.45
Greece,2033,77.42,1.9559,31914.47
Greece,2034,79.64,1.6625,31822.49
Greece,2035,79.3,1.369,31730.5
Greenland,2026,79.66,9.4783,73318.38
Greenland,2027,79.66,9.4207,74093.39
Greenland,2028,79.66,9.3631,74868.4
Greenland,2029,79.66,9.3055,75643.41
Greenland,2030,78.92,9.2479,76418.43
Greenland,2031,79.42,9.1903,77193.44
Greenland,2032,79.42,9.1327,77968.45
Greenland,2033,79.42,9.0751,78743.46
Greenland,2034,79.99,9.0174,79518.47
Greenland,2035,79.99,8.9598,80293.48
Grenada,2026,72.19,3.0398,17764.07
Grenada,2027,72.19,3.0917,18036.94
Grenada,2028,72.19,3.1436,18309.81
Grenada,2029,72.19,3.1956,18582.68
Grenada,2030,72.35,3.2475,18855.55
Grenada,2031,72.35,3.2994,19128.43
Grenada,2032,72.35,3.3513,19401.3
Grenada,2033,72.35,3.4032,19674.17
Grenada,2034,72.25,3.4551,19947.04
Grenada,2035,72.25,3.507,20219.91
Guatemala,2026,70.91,1.2382,12686.57
Guatemala,2027,71.47,1.2672,12866.2
Guatemala,2028,71.25,1.2961,13045.83
Guatemala,2029,70.31,1.3251,13225.46
Guatemala,2030,71.99,1.354,13405.09
Guatemala,2031,71.93,1.383,13584.72
Guatemala,2032,71.93,1.412,13764.35
Guatemala,2033,72.3,1.4409,13943.98
Guatemala,2034,73.66,1.4699,14123.61
Guatemala,2035,73.66,1.4989,14303.24
Guinea,2026,58.83,0.3407,4226.97
Guinea,2027,61.57,0.3487,4332.41
Guinea,2028,60.98,0.3567,4437.86
Guinea,2029,61.29,0.3647,4543.3
Guinea,2030,61.02,0.3726,4648.74
Guinea,2031,61.17,0.3806,4754.19
Guinea,2032,61.29,0.3886,4859.63
Guinea,2033,60.63,0.3966,4965.07
Guinea,2034,60.62,0.4046,5070.51
Guinea,2035,60.65,0.4125,5175.96
Guinea-Bissau,2026,58.38,0.1848,2706.5
Guinea-Bissau,2027,58.18,0.1928,2743.61
Guinea-Bissau,2028,58.18,0.2007,2780.71
Guinea-Bissau,2029,58.91,0.2087,2817.81
Guinea-Bissau,2030,58.91,0.2166,2854.92
Guinea-Bissau,2031,60.07,0.2246,2892.02
Guinea-Bissau,2032,60.45,0.2325,2929.12
Guinea-Bissau,2033,60.53,0.2405,2966.23
Guinea-Bissau,2034,61.28,0.2484,3003.33
Guinea-Bissau,2035,61.29,0.2564,3040.43
Guyana,2026,77.62,4.9585,36305.94
Guyana,2027,77.44,5.1341,38210.89
Guyana,2028,78.51,5.3098,40115.85
Guyana,2029,78.58,5.4855,42020.81
Guyana,2030,80.57,5.6612,43925.77
Guyana,2031,80.71,5.8369,45830.73
Guyana,2032,80.9,6.0125,47735.68
Guyana,2033,81.14,6.1882,49640.64
Guyana,2034,81.61,6.3639,51545.6
Guyana,2035,81.64,6.5396,53450.56
Haiti,2026,62.28,0.3099,3133.0
Haiti,2027,62.28,0.3149,3114.59
Haiti,2028,62.26,0.3199,3096.19
Haiti,2029,62.26,0.3249,3077.79
Haiti,2030,62.26,0.3299,3059.39
Haiti,2031,62.26,0.335,3040.99
Haiti,2032,62.26,0.34,3022.59
Haiti,2033,62.26,0.345,3004.19
Haiti,2034,62.4,0.35,2985.79
Haiti,2035,62.4,0.355,2967.39
Honduras,2026,65.58,1.1356,6607.99
Honduras,2027,65.58,1.1432,6681.47
Honduras,2028,65.58,1.1508,6754.96
Honduras,2029,65.58,1.1584,6828.45
Honduras,2030,66.14,1.166,6901.93
Honduras,2031,66.59,1.1737,6975.42
Honduras,2032,66.59,1.1813,7048.91
Honduras,2033,66.59,1.1889,7122.39
Honduras,2034,66.59,1.1965,7195.88
Honduras,2035,66.59,1.2041,7269.37
Hong Kong,2026,82.14,4.195,69058.28
Hong Kong,2027,82.14,4.0682,69764.67
Hong Kong,2028,82.37,3.9414,70471.05
Hong Kong,2029,82.37,3.8146,71177.44
Hong Kong,2030,82.18,3.6878,71883.82
Hong Kong,2031,82.18,3.561,72590.21
Hong Kong,2032,81.66,3.4342,73296.6
Hong Kong,2033,81.66,3.3074,74002.98
Hong Kong,2034,81.43,3.1806,74709.37
Hong Kong,2035,81.43,3.0538,75415.75
Hungary,2026,80.22,4.5858,43596.54
Hungary,2027,80.35,4.5628,44635.5
Hungary,2028,80.86,4.5398,45674.47
Hungary,2029,81.21,4.5168,46713.43
Hungary,2030,80.73,4.4938,47752.4
Hungary,2031,80.73,4.4708,48791.36
Hungary,2032,81.43,4.4477,49830.33
Hungary,2033,81.47,4.4247,50869.29
Hungary,2034,81.47,4.4017,51908.25
Hungary,2035,81.61,4.3787,52947.22
Iceland,2026,80.14,8.6023,68351.57
Iceland,2027,80.14,8.4283,69059.71
Iceland,2028,80.63,8.2544,69767.85
Iceland,2029,81.29,8.0805,70475.98
Iceland,2030,81.8,7.9065,71184.12
Iceland,2031,81.8,7.7326,71892.26
Iceland,2032,81.91,7.5587,72600.39
Iceland,2033,81.81,7.3847,73308.53
Iceland,2034,81.81,7.2108,74016.67
Iceland,2035,81.81,7.0369,74724.8
India,2026,68.73,2.215,9863.28
India,2027,67.59,2.2667,10169.22
India,2028,70.34,2.3184,10475.16
India,2029,70.34,2.3701,10781.1
India,2030,70.51,2.4218,11087.04
India,2031,70.51,2.4735,11392.98
India,2032,71.41,2.5252,11698.92
India,2033,71.56,2.5769,12004.86
India,2034,71.56,2.6286,12310.8
India,2035,71.58,2.6803,12616.74
Indonesia,2026,71.9,2.7806,14986.9
Indonesia,2027,71.9,2.843,15363.8
Indonesia,2028,71.9,2.9055,15740.69
Indonesia,2029,71.88,2.968,16117.59
Indonesia,2030,71.88,3.0305,16494.48
Indonesia,2031,71.88,3.093,16871.38
Indonesia,2032,72.19,3.1555,17248.27
Indonesia,2033,72.19,3.218,17625.17
Indonesia,2034,72.19,3.2805,18002.06
Indonesia,2035,72.19,3.343,18378.96
Iran,2026,70.16,9.1026,16303.74
Iran,2027,70.62,9.219,16376.02
Iran,2028,70.62,9.3355,16448.29
Iran,2029,70.67,9.4519,16520.57
Iran,2030,70.67,9.5683,16592.85
Iran,2031,69.66,9.6848,16665.12
Iran,2032,69.66,9.8012,16737.4
Iran,2033,69.35,9.9176,16809.67
Iran,2034,68.45,10.0341,16881.95
Iran,2035,68.94,10.1505,16954.23
Iraq,2026,71.57,5.1133,14390.97
Iraq,2027,71.57,5.207,14492.25
Iraq,2028,71.57,5.3006,14593.53
Iraq,2029,71.57,5.3943,14694.81
Iraq,2030,71.4,5.4879,14796.08
Iraq,2031,72.52,5.5816,14897.36
Iraq,2032,72.52,5.6753,14998.64
Iraq,2033,72.52,5.7689,15099.91
Iraq,2034,72.52,5.8626,15201.19
Iraq,2035,72.52,5.9562,15302.47
Ireland,2026,83.37,6.4436,135043.68
Ireland,2027,83.39,6.2909,140132.3
Ireland,2028,83.42,6.1383,145220.91
Ireland,2029,83.42,5.9856,150309.52
Ireland,2030,83.65,5.8329,155398.14
Ireland,2031,83.6,5.6803,160486.75
Ireland,2032,80.85,5.5276,165575.37
Ireland,2033,82.79,5.375,170663.98
Ireland,2034,83.12,5.2223,175752.59
Ireland,2035,83.23,5.0696,180841.21
Israel,2026,80.5,5.3196,49708.75
Israel,2027,81.3,5.0831,50462.97
Israel,2028,80.22,4.8466,51217.19
Israel,2029,82.09,4.6101,51971.41
Israel,2030,81.61,4.3736,52725.63
Israel,2031,81.85,4.1371,53479.85
Israel,2032,81.85,3.9006,54234.07
Israel,2033,81.5,3.6641,54988.29
Israel,2034,80.87,3.4276,55742.52
Israel,2035,80.84,3.1911,56496.74
Italy,2026,80.93,4.7267,50769.2
Italy,2027,81.57,4.5951,50962.71
Italy,2028,81.47,4.4634,51156.22
Italy,2029,81.89,4.3318,51349.74
Italy,2030,81.89,4.2001,51543.25
Italy,2031,81.89,4.0684,51736.76
Italy,2032,81.89,3.9368,51930.28
Italy,2033,81.89,3.8051,52123.79
Italy,2034,81.66,3.6735,52317.31
Italy,2035,81.66,3.5418,52510.82
Jamaica,2026,70.51,2.7313,11171.27
Jamaica,2027,70.51,2.7202,11261.43
Jamaica,2028,70.51,2.7091,11351.58
Jamaica,2029,71.13,2.698,11441.74
Jamaica,2030,71.13,2.6869,11531.9
Jamaica,2031,71.41,2.6758,11622.06
Jamaica,2032,71.41,2.6647,11712.22
Jamaica,2033,71.41,2.6536,11802.37
Jamaica,2034,71.41,2.6425,11892.53
Jamaica,2035,71.41,2.6314,11982.69
Japan,2026,80.52,7.85,46912.7
Japan,2027,80.57,7.7183,47288.78
Japan,2028,80.69,7.5867,47664.86
Japan,2029,80.69,7.455,48040.94
Japan,2030,80.76,7.3233,48417.01
Japan,2031,80.76,7.1917,48793.09
Japan,2032,80.76,7.06,49169.17
Japan,2033,81.0,6.9283,49545.25
Japan,2034,81.46,6.7967,49921.33
Japan,2035,81.46,6.665,50297.4
Jordan,2026,68.52,1.6409,8310.28
Jordan,2027,65.55,1.5503,8150.64
Jordan,2028,65.4,1.4597,7991.0
Jordan,2029,63.65,1.3692,7831.36
Jordan,2030,64.32,1.2786,7671.72
Jordan,2031,62.69,1.1881,7512.07
Jordan,2032,66.59,1.0975,7352.43
Jordan,2033,66.59,1.0069,7192.79
Jordan,2034,67.49,0.9164,7033.15
Jordan,2035,65.98,0.8258,6873.51
Kazakhstan,2026,75.99,14.8748,36520.78
Kazakhstan,2027,75.99,14.861,37097.93
Kazakhstan,2028,75.99,14.8471,37675.08
Kazakhstan,2029,75.99,14.8332,38252.23
Kazakhstan,2030,75.99,14.8194,38829.38
Kazakhstan,2031,77.09,14.8055,39406.53
Kazakhstan,2032,77.09,14.7916,39983.68
Kazakhstan,2033,77.38,14.7777,40560.83
Kazakhstan,2034,77.76,14.7639,41137.98
Kazakhstan,2035,77.76,14.75,41715.13
Kenya,2026,62.06,0.4162,5890.02
Kenya,2027,60.2,0.4251,5999.11
Kenya,2028,54.68,0.4341,6108.2
Kenya,2029,61.53,0.443,6217.29
Kenya,2030,61.53,0.452,6326.38
Kenya,2031,63.56,0.4609,6435.48
Kenya,2032,63.56,0.4699,6544.57
Kenya,2033,64.3,0.4788,6653.66
Kenya,2034,65.16,0.4878,6762.75
Kenya,2035,62.18,0.4967,6871.84
Kiribati,2026,65.73,0.5699,3438.53
Kiribati,2027,65.67,0.5751,3518.9
Kiribati,2028,65.67,0.5804,3599.27
Kiribati,2029,66.28,0.5857,3679.64
Kiribati,2030,66.28,0.5909,3760.01
Kiribati,2031,66.28,0.5962,3840.37
Kiribati,2032,66.28,0.6014,3920.74
Kiribati,2033,66.28,0.6067,4001.11
Kiribati,2034,66.28,0.612,4081.48
Kiribati,2035,66.28,0.6172,4161.85
Kosovo,2026,71.5,5.0226,14722.89
Kosovo,2027,71.5,5.0601,15162.04
Kosovo,2028,71.5,5.0976,15601.19
Kosovo,2029,71.47,5.1351,16040.35
Kosovo,2030,71.47,5.1726,16479.5
Kosovo,2031,71.47,5.2101,16918.65
Kosovo,2032,71.79,5.2476,17357.81
Kosovo,2033,71.79,5.2851,17796.96
Kosovo,2034,71.79,5.3226,18236.11
Kosovo,2035,71.52,5.3601,18675.27
Kuwait,2026,76.3,19.8965,42570.46
Kuwait,2027,75.42,19.3694,41145.5
Kuwait,2028,77.09,18.8424,39720.53
Kuwait,2029,76.15,18.3153,38295.56
Kuwait,2030,75.99,17.7883,36870.6
Kuwait,2031,74.17,17.2612,35445.63
Kuwait,2032,74.14,16.7342,34020.67
Kuwait,2033,74.14,16.2071,32595.7
Kuwait,2034,73.27,15.6801,31170.73
Kuwait,2035,72.15,15.153,29745.77
Kyrgyzstan,2026,67.29,1.6334,6581.88
Kyrgyzstan,2027,67.29,1.6441,6679.59
Kyrgyzstan,2028,67.29,1.6549,6777.31
Kyrgyzstan,2029,67.49,1.6656,6875.02
Kyrgyzstan,2030,68.56,1.6763,6972.74
Kyrgyzstan,2031,68.56,1.687,7070.46
Kyrgyzstan,2032,68.56,1.6978,7168.17
Kyrgyzstan,2033,68.56,1.7085,7265.89
Kyrgyzstan,2034,68.9,1.7192,7363.61
Kyrgyzstan,2035,68.9,1.7299,7461.32
Laos,2026,69.73,4.13,9656.88
Laos,2027,68.1,4.3653,9939.61
Laos,2028,69.06,4.6005,10222.34
Laos,2029,68.4,4.8357,10505.07
Laos,2030,69.46,5.071,10787.8
Laos,2031,69.64,5.3062,11070.53
Laos,2032,68.44,5.5414,11353.26
Laos,2033,71.0,5.7767,11635.99
Laos,2034,71.0,6.0119,11918.72
Laos,2035,70.63,6.2471,12201.45
Latvia,2026,79.89,3.6888,41710.43
Latvia,2027,79.97,3.6846,42745.19
Latvia,2028,80.34,3.6805,43779.96
Latvia,2029,80.48,3.6764,44814.73
Latvia,2030,80.48,3.6723,45849.5
Latvia,2031,80.91,3.6682,46884.26
Latvia,2032,80.97,3.6641,47919.03
Latvia,2033,80.97,3.66,48953.8
Latvia,2034,81.66,3.6559,49988.56
Latvia,2035,81.7,3.6518,51023.33
Lebanon,2026,69.89,3.2251,10854.68
Lebanon,2027,70.19,3.1589,10436.97
Lebanon,2028,70.19,3.0927,10019.26
Lebanon,2029,70.32,3.0266,9601.54
Lebanon,2030,70.87,2.9604,9183.83
Lebanon,2031,70.87,2.8943,8766.12
Lebanon,2032,69.32,2.8281,8348.41
Lebanon,2033,68.71,2.7619,7930.7
Lebanon,2034,67.85,2.6958,7512.99
Lebanon,2035,68.64,2.6296,7095.28
Lesotho,2026,56.84,1.0098,2651.63
Lesotho,2027,53.69,1.0006,2640.12
Lesotho,2028,53.69,0.9914,2628.6
Lesotho,2029,53.69,0.9821,2617.08
Lesotho,2030,53.69,0.9729,2605.57
Lesotho,2031,53.69,0.9637,2594.05
Lesotho,2032,53.04,0.9545,2582.53
Lesotho,2033,53.04,0.9453,2571.02
Lesotho,2034,54.07,0.9361,2559.5
Lesotho,2035,53.53,0.9269,2547.98
Liberia,2026,61.63,0.1417,1594.32
Liberia,2027,58.86,0.1398,1591.67
Liberia,2028,58.88,0.1379,1589.03
Liberia,2029,59.83,0.136,1586.38
Liberia,2030,61.62,0.1342,1583.74
Liberia,2031,60.43,0.1323,1581.09
Liberia,2032,59.99,0.1304,1578.45
Liberia,2033,60.29,0.1285,1575.8
Liberia,2034,57.88,0.1266,1573.16
Liberia,2035,57.88,0.1247,1570.51
Libya,2026,63.88,8.1642,9479.01
Libya,2027,64.09,8.1003,8968.53
Libya,2028,63.96,8.0363,8458.04
Libya,2029,64.39,7.9723,7947.55
Libya,2030,64.1,7.9084,7437.06
Libya,2031,63.39,7.8444,6926.57
Libya,2032,63.11,7.7804,6416.08
Libya,2033,63.61,7.7165,5905.6
Libya,2034,62.86,7.6525,5395.11
Libya,2035,62.5,7.5885,4884.62
Lithuania,2026,80.36,4.8521,52774.17
Lithuania,2027,80.36,4.8787,54343.47
Lithuania,2028,81.93,4.9053,55912.76
Lithuania,2029,81.36,4.932,57482.06
Lithuania,2030,81.39,4.9586,59051.35
Lithuania,2031,81.7,4.9853,60620.65
Lithuania,2032,81.9,5.0119,62189.95
Lithuania,2033,82.07,5.0386,63759.24
Lithuania,2034,81.71,5.0652,65328.54
Lithuania,2035,81.81,5.0918,66897.83
Luxembourg,2026,83.28,8.3545,133622.32
Luxembourg,2027,83.56,7.5361,133857.53
Luxembourg,2028,83.35,6.7177,134092.74
Luxembourg,2029,83.63,5.8994,134327.94
Luxembourg,2030,83.21,5.081,134563.15
Luxembourg,2031,83.74,4.2626,134798.36
Luxembourg,2032,83.02,3.4443,135033.57
Luxembourg,2033,82.84,2.6259,135268.78
Luxembourg,2034,83.4,1.8075,135503.99
Luxembourg,2035,83.24,0.9892,135739.2
Macao,2026,81.62,1.2854,72206.02
Macao,2027,81.39,1.2015,67156.68
Macao,2028,81.54,1.1177,62107.33
Macao,2029,81.78,1.0338,57057.98
Macao,2030,81.91,0.9499,52008.64
Macao,2031,80.79,0.866,46959.29
Macao,2032,83.14,0.7821,41909.94
Macao,2033,81.78,0.6983,36860.59
Macao,2034,81.84,0.6144,31811.25
Macao,2035,79.26,0.5305,26761.9
Madagascar,2026,60.08,0.1641,1611.94
Madagascar,2027,60.08,0.1682,1610.06
Madagascar,2028,60.08,0.1723,1608.19
Madagascar,2029,60.08,0.1764,1606.32
Madagascar,2030,60.08,0.1805,1604.45
Madagascar,2031,60.08,0.1845,1602.58
Madagascar,2032,59.69,0.1886,1600.7
Madagascar,2033,59.69,0.1927,1598.83
Madagascar,2034,59.69,0.1968,1596.96
Madagascar,2035,59.69,0.2009,1595.09
Malawi,2026,54.51,0.0959,1744.34
Malawi,2027,55.86,0.0979,1759.15
Malawi,2028,58.52,0.1,1773.97
Malawi,2029,57.58,0.102,1788.79
Malawi,2030,56.81,0.1041,1803.61
Malawi,2031,58.29,0.1061,1818.42
Malawi,2032,57.98,0.1082,1833.24
Malawi,2033,56.66,0.1102,1848.06
Malawi,2034,56.84,0.1123,1862.88
Malawi,2035,56.84,0.1143,1877.69
Malaysia,2026,75.34,8.4305,35021.29
Malaysia,2027,75.85,8.5103,35733.16
Malaysia,2028,77.82,8.59,36445.03
Malaysia,2029,77.82,8.6698,37156.9
Malaysia,2030,78.14,8.7495,37868.77
Malaysia,2031,77.81,8.8293,38580.64
Malaysia,2032,78.84,8.909,39292.51
Malaysia,2033,79.06,8.9888,40004.38
Malaysia,2034,79.54,9.0685,40716.25
Malaysia,2035,79.1,9.1483,41428.12
Maldives,2026,73.52,4.5424,21806.9
Maldives,2027,73.21,4.6669,22102.19
Maldives,2028,71.93,4.7913,22397.48
Maldives,2029,73.84,4.9158,22692.77
Maldives,2030,73.08,5.0403,22988.06
Maldives,2031,73.08,5.1647,23283.35
Maldives,2032,73.08,5.2892,23578.64
Maldives,2033,73.08,5.4136,23873.93
Maldives,2034,71.77,5.5381,24169.22
Maldives,2035,73.66,5.6626,24464.51
Mali,2026,62.4,0.3685,2964.44
Mali,2027,62.4,0.3837,2988.9
Mali,2028,62.4,0.3989,3013.37
Mali,2029,62.86,0.4141,3037.84
Mali,2030,64.04,0.4294,3062.3
Mali,2031,62.64,0.4446,3086.77
Mali,2032,63.45,0.4598,3111.23
Mali,2033,63.45,0.475,3135.7
Mali,2034,65.36,0.4903,3160.17
Mali,2035,65.96,0.5055,3184.63
Malta,2026,83.32,1.5959,65002.7
Malta,2027,81.78,1.3187,66770.53
Malta,2028,82.13,1.0414,68538.35
Malta,2029,84.5,0.7641,70306.18
Malta,2030,81.34,0.4869,72074.01
Malta,2031,88.05,0.2096,73841.84
Malta,2032,83.41,0.0,75609.67
Malta,2033,83.54,0.0,77377.5
Malta,2034,83.54,0.0,79145.32
Malta,2035,83.54,0.0,80913.15
Marshall Islands,2026,68.25,4.0026,7627.34
Marshall Islands,2027,68.25,4.0959,7860.0
Marshall Islands,2028,68.25,4.1893,8092.66
Marshall Islands,2029,68.86,4.2827,8325.32
Marshall Islands,2030,70.07,4.376,8557.97
Marshall Islands,2031,70.05,4.4694,8790.63
Marshall Islands,2032,70.06,4.5627,9023.29
Marshall Islands,2033,69.65,4.6561,9255.95
Marshall Islands,2034,69.2,4.7494,9488.6
Marshall Islands,2035,66.71,4.8428,9721.26
Mauritania,2026,65.58,1.1934,6294.22
Mauritania,2027,65.58,1.2316,6333.28
Mauritania,2028,65.58,1.2699,6372.34
Mauritania,2029,65.58,1.3081,6411.4
Mauritania,2030,65.44,1.3463,6450.46
Mauritania,2031,65.51,1.3845,6489.52
Mauritania,2032,65.51,1.4227,6528.58
Mauritania,2033,66.45,1.461,6567.64
Mauritania,2034,66.45,1.4992,6606.69
Mauritania,2035,66.45,1.5374,6645.75
Mauritius,2026,75.28,3.5458,27679.32
Mauritius,2027,75.28,3.5762,28185.74
Mauritius,2028,75.28,3.6065,28692.15
Mauritius,2029,75.28,3.6369,29198.57
Mauritius,2030,75.28,3.6673,29704.98
Mauritius,2031,75.53,3.6976,30211.4
Mauritius,2032,75.53,3.728,30717.82
Mauritius,2033,75.03,3.7583,31224.23
Mauritius,2034,75.72,3.7887,31730.65
Mauritius,2035,75.72,3.8191,32237.06
Mexico,2026,73.64,3.2809,21982.75
Mexico,2027,73.64,3.223,22081.27
Mexico,2028,73.64,3.165,22179.8
Mexico,2029,73.64,3.1071,22278.32
Mexico,2030,73.64,3.0491,22376.85
Mexico,2031,73.64,2.9912,22475.37
Mexico,2032,73.64,2.9332,22573.9
Mexico,2033,73.64,2.8753,22672.42
Mexico,2034,73.64,2.8173,22770.95
Mexico,2035,73.12,2.7593,22869.47
Micronesia (country),2026,64.76,1.3588,3895.85
Micronesia (country),2027,63.55,1.3694,3906.26
Micronesia (country),2028,64.51,1.38,3916.68
Micronesia (country),2029,64.51,1.3907,3927.09
Micronesia (country),2030,64.51,1.4013,3937.5
Micronesia (country),2031,64.51,1.4119,3947.91
Micronesia (country),2032,64.51,1.4225,3958.32
Micronesia (country),2033,64.51,1.4332,3968.74
Micronesia (country),2034,64.51,1.4438,3979.15
Micronesia (country),2035,64.51,1.4544,3989.56
Moldova,2026,70.86,1.9429,17559.71
Moldova,2027,73.15,1.9827,18062.07
Moldova,2028,72.61,2.0224,18564.43
Moldova,2029,72.76,2.0622,19066.79
Moldova,2030,72.43,2.102,19569.15
Moldova,2031,72.34,2.1418,20071.51
Moldova,2032,73.45,2.1816,20573.87
Moldova,2033,74.65,2.2214,21076.23
Moldova,2034,74.28,2.2612,21578.58
Moldova,2035,74.61,2.301,22080.94
Mongolia,2026,67.84,15.0788,18030.03
Mongolia,2027,67.71,15.5178,18478.24
Mongolia,2028,67.85,15.9568,18926.46
Mongolia,2029,67.85,16.3958,19374.68
Mongolia,2030,67.85,16.8348,19822.9
Mongolia,2031,67.85,17.2738,20271.11
Mongolia,2032,69.39,17.7128,20719.33
Mongolia,2033,69.39,18.1518,21167.55
Mongolia,2034,69.41,18.5908,21615.77
Mongolia,2035,68.48,19.0297,22063.98
Montenegro,2026,75.37,4.1682,26932.62
Montenegro,2027,75.47,4.222,27425.61
Montenegro,2028,75.47,4.2757,27918.6
Montenegro,2029,75.47,4.3294,28411.59
Montenegro,2030,74.98,4.3832,28904.58
Montenegro,2031,74.98,4.4369,29397.57
Montenegro,2032,74.98,4.4906,29890.56
Montenegro,2033,75.91,4.5444,30383.55
Montenegro,2034,75.4,4.5981,30876.54
Montenegro,2035,74.52,4.6518,31369.53
Morocco,2026,70.35,1.9197,9306.55
Morocco,2027,70.09,1.9379,9426.19
Morocco,2028,70.09,1.9561,9545.84
Morocco,2029,69.61,1.9742,9665.48
Morocco,2030,69.61,1.9924,9785.12
Morocco,2031,69.61,2.0106,9904.76
Morocco,2032,69.61,2.0288,10024.41
Morocco,2033,69.61,2.047,10144.05
Morocco,2034,69.61,2.0652,10263.69
Morocco,2035,69.61,2.0833,10383.33
Mozambique,2026,64.89,0.3285,1638.22
Mozambique,2027,65.24,0.3398,1659.27
Mozambique,2028,64.33,0.351,1680.33
Mozambique,2029,65.82,0.3623,1701.38
Mozambique,2030,63.83,0.3736,1722.43
Mozambique,2031,64.25,0.3849,1743.49
Mozambique,2032,65.27,0.3962,1764.54
Mozambique,2033,64.23,0.4075,1785.59
Mozambique,2034,64.23,0.4188,1806.65
Mozambique,2035,65.72,0.4301,1827.7
Myanmar,2026,66.16,0.7686,6618.34
Myanmar,2027,66.16,0.8018,6767.36
Myanmar,2028,66.34,0.8351,6916.39
Myanmar,2029,65.81,0.8683,7065.41
Myanmar,2030,67.49,0.9015,7214.43
Myanmar,2031,66.39,0.9347,7363.45
Myanmar,2032,60.36,0.9679,7512.47
Myanmar,2033,62.7,1.0011,7661.49
Myanmar,2034,64.32,1.0344,7810.51
Myanmar,2035,64.32,1.0676,7959.54
Namibia,2026,67.28,1.2606,10130.0
Namibia,2027,67.28,1.2529,10053.06
Namibia,2028,67.28,1.2452,9976.12
Namibia,2029,67.28,1.2375,9899.18
Namibia,2030,67.28,1.2298,9822.25
Namibia,2031,67.28,1.2221,9745.31
